"ET_ID";"Id";"ET_Index";"Temp_21";"Prec_21";"BIO12_Prec";"X_cen";"Y_cen";"R_Odonata";"R_Lotic";"R_Lentic";"Temp_0";"Prec_0";"vart";"varp";"H_Lent";"H_Lot"
1286;0;"11--21";13.7388;116.557;409.896;3275000;1875000;30;7;23;12;469.8;-1.7388;353.243;880000;197259
1287;0;"11--22";12.4207;141.628;415.163;3325000;1875000;35;11;24;12;512;-0.4207;370.372;430000;193108
1288;0;"11--23";12.8014;93.3708;445.196;3375000;1875000;49;14;35;12.6667;503.333;-0.134699999999999;409.9622;88870000;197726
1289;0;"11--24";12.3423;96.5495;440.621;3425000;1875000;55;16;39;15.4;420.6;3.0577;324.0505;1370000;154358
1317;0;"11--52";12.693;223.984;866.341;4825000;1875000;45;9;36;15.1667;1269.83;2.4737;1045.846;280000;49451
1318;0;"11--53";12.6379;224.942;770.151;4875000;1875000;45;8;37;14.75;1304.25;2.1121;1079.308;5060000;79613
1319;0;"11--54";13.0218;210.891;652.983;4925000;1875000;41;8;33;15;1029.75;1.9782;818.859;0;13338
1324;0;"11--59";12.7295;225.177;1145.21;5175000;1875000;37;7;30;14.8;1374.4;2.0705;1149.223;0;0
1325;0;"11--60";12.7072;225.301;1131.1;5225000;1875000;46;11;35;15;1373.67;2.2928;1148.369;7260000;125751
1326;0;"11--61";13.1119;201.348;1001.74;5275000;1875000;44;11;33;14.6667;1379.67;1.5548;1178.322;18810000;221551
1328;0;"11--63";13.7559;163.532;680.783;5375000;1875000;42;9;33;15.25;882.75;1.4941;719.218;6690000;144618
1329;0;"11--64";13.8039;159.911;617.35;5425000;1875000;44;10;34;15;669;1.1961;509.089;1900000;92784
1330;0;"11--65";13.8106;158.706;543.669;5475000;1875000;38;8;30;15;710.2;1.1894;551.494;480000;75932
1389;0;"12--9";12.2578;233.766;667.638;2675000;1925000;33;5;28;15.5;610.75;3.2422;376.984;2880000;9972
1390;0;"12--10";12.2845;230.655;644.094;2725000;1925000;35;7;28;15.5;675.25;3.2155;444.595;7860000;266788
1391;0;"12--11";12.0478;300.073;646.105;2775000;1925000;37;10;27;15.2;702;3.1522;401.927;15810000;293310
1392;0;"12--12";12.1926;297.02;606.326;2825000;1925000;38;9;29;15.6667;611;3.4741;313.98;32780000;209499
1393;0;"12--13";12.5773;292.269;524.536;2875000;1925000;38;9;29;15.5;518.5;2.9227;226.231;10580000;348594
